Адресс,Площадь,Цена,Цена за метр,Метро,Время до метро,Этаж,Всего этажей,Окончание стройки,Url,Комнаты,Дата,Общая информация характеристики,Общая информация параметры
Москва СВАО р-н Марьина роща ул. 4-я Марьиной рощи 12К1,112.09,42515737,379300,Марьина роща,8 мин. пешком,48,55,4 кв. 2024,https://www.cian.ru/sale/flat/265005167/,4,6 окт 2021,Тип жилья$Планировка$Высота потолков$Вид из окон$Отделка,Новостройка$Смежно-изолированная$3 м$На улицу и двор$Чистовая
Москва ЦАО р-н Тверской Долгоруковская ул. 2,125.0,40000000,320000,Новослободская,8 мин. пешком,13,13,сдан,https://www.cian.ru/sale/flat/277957149/,4,,Тип жилья$Планировка$Площадь комнат+ обозначение смежных комнат- обозначение изолированных комнат$Санузел$Балкон/лоджия$Ремонт$Вид из окон,Вторичка$Изолированная$24-15-14-10 м²$2 раздельных$2 лоджии$Косметический$На улицу и двор
Москва ЦАО р-н Пресненский Онест жилой комплекс,144.3,106363530,737100,Улица 1905 года,12 мин. пешком,8,23,2 кв. 2025,https://www.cian.ru/sale/flat/279140114/,4,,Тип жилья$Планировка$Высота потолков$Отделка,"Новостройка$Изолированная$3,4 м$Черновая"
Москва ЦАО р-н Мещанский Цветной бул. 16/1,139.0,59900000,430935,Трубная,4 мин. пешком,2,4,сдан,https://www.cian.ru/sale/flat/278563701/,4,23 сен 2022,Тип жилья$Планировка$Высота потолков$Санузел$Балкон/лоджия$Ремонт$Вид из окон,"Вторичка$Изолированная$2,8 м$2 совмещенных$2 лоджии$Евроремонт$На улицу и двор"
Москва СЗАО р-н Покровское-Стрешнево Летная ул. 95Бк2,120.2,51942627,432135,Тушинская,5 мин. на транспорте,17,24,1 кв. 2022,https://www.cian.ru/sale/flat/274202029/,4,1 июн 2022,Тип жилья$Планировка$Высота потолков$Отделка,"Новостройка$Смежно-изолированная$3,17 м$Черновая"
Москва САО р-н Беговой ул. 3-я Ямского Поля 9,200.0,145000000,725000,Белорусская,6 мин. пешком,4,6,сдан,https://www.cian.ru/sale/flat/278418359/,4,,Тип жилья$Планировка$Высота потолков$Санузел$Ремонт$Вид из окон,"Вторичка Апартаменты$Изолированная$4,5 м$3 совмещенных$Дизайнерский$На улицу"
Москва ЦАО р-н Тверской Ильинка 3/8 жилой комплекс,186.14,502913052,2701800,Площадь Революции,2 мин. пешком,4,5,3 кв. 2024,https://www.cian.ru/sale/flat/277524786/,4,,Тип жилья$Высота потолков$Вид из окон$Отделка,"Новостройка Апартаменты$3,6 м$Во двор$Черновая"
Москва ЦАО р-н Мещанский Цветной бул. 16/1,138.7,59900000,431867,Цветной бульвар,5 мин. пешком,2,5,сдан,https://www.cian.ru/sale/flat/278323018/,4,15 сен 2022,Тип жилья$Планировка$Высота потолков$Санузел$Балкон/лоджия$Ремонт$Вид из окон,"Вторичка$Изолированная$2,8 м$3 совмещенных$2 лоджии$Евроремонт$Во двор"
Москва ЗАО р-н Дорогомилово Ривер Парк Кутузовский жилой комплекс,134.4,75468960,561525,Фили,6 мин. пешком,35,45,сдан,https://www.cian.ru/sale/flat/274260608/,4,,Тип жилья$Высота потолков$Отделка,"Новостройка$3,445 м$Нет"
Москва ЦАО р-н Хамовники пер. Хилков 1,367.0,674658600,1838307,Парк Культуры,7 мин. пешком,8,8,сдан,https://www.cian.ru/sale/flat/277196328/,4,16 авг 2022,Тип жилья$Высота потолков$Санузел$Балкон/лоджия$Ремонт,"Вторичка Пентхаус$3,4 м$2 совмещенных, 1 раздельный$1 балкон, 1 лоджия$Дизайнерский"
